report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2017-04-24,Argentina-Buenos_Aires,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-CABA,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Cordoba,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Entre_Rios,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Santa_Fe,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Mendoza,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-San_Juan,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-San_Luis,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Chaco,province,cumulative_confirmed_local_cases,AR0001,nan,nan,37.0,cases
2017-04-24,Argentina-Corrientes,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Formosa,province,cumulative_confirmed_local_cases,AR0001,nan,nan,18.0,cases
2017-04-24,Argentina-Misiones,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Catamarca,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Jujuy,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-La_Rioja,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Salta,province,cumulative_confirmed_local_cases,AR0001,nan,nan,13.0,cases
2017-04-24,Argentina-Sgo_Del_Estero,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Tucuman,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
2017-04-24,Argentina-Chubut,province,cumulative_confirmed_local_cases,AR0001,nan,nan,0.0,cases
